Coin ID,Symbol,Name,Market Cap (USD),FDV (USD),24H Volume (USD)
lombard-staked-btc,lbtc,Lombard Staked BTC,982377349,982377349.0,26703453.0
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,981688243,981688243.0,153583.0
flare-networks,flr,Flare,978672268,1300882471.0,11939982.0
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),968842686,968842686.0,0.0
first-digital-usd,fdusd,First Digital USD,940137419,940137419.0,8279132791.0
starknet,strk,Starknet,935785375,2052151609.0,844667045.0
liquid-staked-ethereum,lseth,Liquid Staked ETH,931786316,931786316.0,278058.0
xdce-crowd-sale,xdc,XDC Network,922290597,1894212272.0,53239428.0
nexo,nexo,NEXO,905780964,905780964.0,16421923.0
solv-btc,solvbtc,Solv Protocol BTC,894747569,894747569.0,6707478.0
render-token,render,Render,884421233,909594002.0,138408375.0
rain,rain,Rain,856349089,4147504590.0,9296988.0
sei-network,sei,Sei,853307749,1339572604.0,157855465.0
syrupusdt,syrupusdt,syrupUSDT,831646297,831646297.0,469365.0
morpho,morpho,Morpho,806911176,1526930372.0,35352843.0
story-2,ip,Story,781511120,2405185446.0,45540333.0
ousg,ousg,OUSG,776604219,776604219.0,0.0
fetch-ai,fet,Artificial Superintelligence Alliance,775799315,808421926.0,250443497.0
jupiter-exchange-solana,jup,Jupiter,775286552,1685853609.0,53589323.0
janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,760920895,760920895.0,0.0
renzo-restaked-eth,ezeth,Renzo Restaked ETH,758593789,758593789.0,1625027.0
dash,dash,Dash,754385322,754838929.0,278692057.0
fasttoken,ftn,Fasttoken,747478451,1500458679.0,1993874.0
bonk,bonk,Bonk,732173291,781929572.0,210800963.0
pancakeswap-token,cake,PancakeSwap,704092575,733265255.0,151271661.0
mantle-staked-ether,meth,Mantle Staked Ether,691233869,691233869.0,4662348.0
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,688384462,688885008.0,516248.0
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),684557515,684557515.0,293089183.0
pudgy-penguins,pengu,Pudgy Penguins,660626459,837586379.0,300482892.0
clbtc,clbtc,clBTC,655927593,655927593.0,29.81
usdai,usdai,USDai,628706568,628706568.0,33580345.0
beldex,bdx,Beldex,614200882,816343438.0,11272284.0
jupiter-staked-sol,jupsol,Jupiter Staked SOL,609330607,609330607.0,8231676.0
aerodrome-finance,aero,Aerodrome Finance,605043960,1194423460.0,74925873.0
polygon-pos-bridged-dai-polygon-pos,dai,Polygon PoS Bridged DAI (Polygon POS),602117491,602117491.0,60382878.0
virtual-protocol,virtual,Virtuals Protocol,599475609,913720526.0,107974794.0
bridged-usdc-polygon-pos-bridge,usdc.e,Polygon Bridged USDC (Polygon PoS),599265303,599265303.0,22520160.0
optimism,op,Optimism,580109188,1313713071.0,184612052.0
